City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,zhezkazgan,47.8043,67.7144,-10.48,90,100,2.69,KZ,1675116864
261,bamiantong,44.9333,130.5333,-23.88,99,41,1.34,CN,1675116864
262,kyaka,-1.2522,31.4203,16.95,79,58,1.07,TZ,1675116865
263,longyearbyen,78.2186,15.6401,-8.09,67,20,7.2,SJ,1675116865
264,belmonte,-15.8631,-38.8828,24.97,76,2,3.03,BR,1675116866
265,souillac,-20.5167,57.5167,25.69,81,61,0.18,MU,1675116866
266,ust-ishim,57.6935,71.1665,-14.79,97,99,2.36,RU,1675116867
267,darhan,49.4867,105.9228,-13.16,97,100,0.82,MN,1675116867
268,faya,18.3851,42.4509,11.29,85,71,1.65,SA,1675116867
269,sitka,57.0531,-135.33,3.94,87,100,1.54,US,1675116868
270,irbil,36.1926,44.0106,8.9,100,100,3.09,IQ,1675116868
271,yate,51.5407,-2.4184,5.69,88,27,2.7,GB,1675116868
272,pisco,-13.7,-76.2167,24.03,78,0,9.77,PE,1675116616
273,karlskrona,56.1616,15.5866,3.25,69,2,7.47,SE,1675116869
274,luderitz,-26.6481,15.1594,16.13,93,0,3.56,NA,1675116870
275,benguela,-12.5763,13.4055,25.62,80,98,2.41,AO,1675116870
276,muros,42.7762,-9.0603,3.8,89,5,2.56,ES,1675116871
277,launceston,-41.45,147.1667,17.01,84,75,2.57,AU,1675116871
278,jemnice,49.019,15.5699,2.9,89,92,11.34,CZ,1675116871
279,paita,-5.0892,-81.1144,25.36,65,24,5.72,PE,1675116872
280,adana,36.985,35.2881,10.01,76,75,3.09,TR,1675116872
281,balkhash,46.844,74.9804,-14.06,78,99,3.65,KZ,1675116873
282,kansanshi,-12.0951,26.4273,16.59,99,100,1.66,ZM,1675116873
283,rio grande,-32.035,-52.0986,29.06,75,8,5.57,BR,1675116873
284,bairiki,1.3292,172.9752,30.0,74,40,6.17,KI,1675116874
285,pedernales,18.0384,-71.744,26.17,64,26,2.27,DO,1675116874
286,wanning,18.8003,110.3967,17.47,85,99,2.89,CN,1675116875
287,kieta,-6.2167,155.6333,27.24,78,100,2.39,PG,1675116875
288,vertientes,21.2594,-78.1464,28.34,42,12,7.82,CU,1675116875
289,dongsheng,39.8161,109.9776,-6.74,28,35,4.38,CN,1675116876
290,yar-sale,66.8333,70.8333,-24.87,100,98,3.53,RU,1675116876
291,chokurdakh,70.6333,147.9167,-14.95,94,100,4.81,RU,1675116877
292,saint anthony,45.0205,-93.218,-16.61,54,0,5.14,US,1675116877
